municipio,prioridad,presupuesto_asignado_MXN,porcentaje
Tangamandapio,2.4499999999999997,80.87,0.0008
San Gabriel,2.1999999999999997,80.71,0.0008
Ocotlán,2.5,78.99,0.0008
Chavinda,2.8,76.21,0.0008
Tenamaxtlán,2.4499999999999997,73.33,0.0007
Valle de Juárez,2.4499999999999997,68.18,0.0007
Rosamorada,3.3,65.06,0.0007
Acatic,2.4499999999999997,58.66,0.0006
Zacoalco de Torres,2.1999999999999997,57.81,0.0006
Tlalpujahua,2.3499999999999996,54.91,0.0005
Morelia,2.0999999999999996,51.54,0.0005
Atemajac de Brizuela,2.4499999999999997,47.43,0.0005
San Julián,1.9,46.26,0.0005
Cañadas de Obregón,2.15,44.6,0.0004
Juchitlán,2.4499999999999997,42.39,0.0004
Tacámbaro,2.4499999999999997,41.07,0.0004
Ocampo,2.4499999999999997,40.5,0.0004
Cuitzeo,2.55,37.68,0.0004
Senguio,2.4499999999999997,36.77,0.0004
Briseñas,3.15,36.29,0.0004
Tonila,2.4499999999999997,35.05,0.0004
San Cristóbal de la Barranca,2.4499999999999997,34.2,0.0003
Puerto Vallarta,3.0999999999999996,32.55,0.0003
Atengo,2.8,32.54,0.0003
Comala,2.5,32.45,0.0003
Magdalena,2.1999999999999997,31.65,0.0003
Arandas,1.9,30.65,0.0003
Indaparapeo,2.1999999999999997,30.04,0.0003
Yahualica de González Gallo,2.15,29.43,0.0003
Cuauhtémoc,2.4,29.33,0.0003
Quitupan,2.6999999999999997,29.23,0.0003
Chilchota,2.6999999999999997,25.47,0.0003
Huandacareo,2.55,25.45,0.0003
Jiquilpan,2.0999999999999996,25.32,0.0003
Charapan,2.6999999999999997,23.75,0.0002
Ojuelos de Jalisco,2.15,23.74,0.0002
Chiquilistlán,2.4499999999999997,23.2,0.0002
Buenavista,3.1,22.91,0.0002
Tangancícuaro,2.4499999999999997,22.22,0.0002
Santa María del Oro,2.4499999999999997,21.33,0.0002
Guadalajara,1.8499999999999999,20.95,0.0002
San Diego de Alejandría,1.9,20.87,0.0002
Paracho,2.6999999999999997,20.67,0.0002
Pátzcuaro,2.0999999999999996,19.07,0.0002
Chucándiro,2.4499999999999997,17.19,0.0002
Lagunillas,2.1999999999999997,16.85,0.0002
Los Reyes,2.3499999999999996,16.76,0.0002
Tala,2.55,15.71,0.0002
Tequila,2.1999999999999997,15.47,0.0002
Panindícuaro,2.4499999999999997,15.28,0.0002
Ixtlahuacán del Río,2.4499999999999997,15.25,0.0002
Ziracuaretiro,2.4499999999999997,14.32,0.0001
Teuchitlán,2.1999999999999997,12.79,0.0001
Zapopan,1.8499999999999999,12.18,0.0001
Tuxpan,2.4499999999999997,12.16,0.0001
La Yesca,2.65,11.92,0.0001
Huejuquilla el Alto,2.4,11.55,0.0001
Zináparo,2.4499999999999997,11.29,0.0001
Jalostotitlán,1.9,10.54,0.0001
Santa Ana Maya,2.55,10.23,0.0001
Tecolotlán,3.1,9.18,0.0001
La Manzanilla de la Paz,2.4499999999999997,8.6,0.0001
Villa Guerrero,2.4499999999999997,8.26,0.0001
Juanacatlán,2.55,8.01,0.0001
El Salto,2.1999999999999997,7.78,0.0001
Tingambato,2.4499999999999997,6.96,0.0001
Huejúcar,2.15,6.79,0.0001
Hostotipaquillo,2.15,6.78,0.0001
Angangueo,2.6999999999999997,6.36,0.0001
Nahuatzen,2.6999999999999997,6.23,0.0001
Zapotlán del Rey,2.6,6.2,0.0001
Tapalpa,2.1999999999999997,6.1,0.0001
Xalisco,2.0999999999999996,5.1,0.0001
Teocaltiche,1.9,5.09,0.0001
Tlaquepaque,2.4499999999999997,5.05,0.0001
Cotija,2.4499999999999997,5.01,0.0001
San Ignacio Cerro Gordo,1.9,5.0,0.0
Zacapu,2.0999999999999996,4.93,0.0
Nuevo Parangaricutiro,3.0,4.9,0.0
Ejutla,2.4499999999999997,4.44,0.0
Valle de Guadalupe,1.9,4.3,0.0
Cuquío,2.4499999999999997,4.24,0.0
Churintzio,2.4499999999999997,4.19,0.0
Tolimán,3.05,3.6,0.0
Copándaro,2.8,3.45,0.0
Poncitlán,2.9,3.14,0.0
Jamay,2.95,3.1,0.0
Techaluta de Montenegro,2.4499999999999997,2.53,0.0
San Martín de Bolaños,2.4,2.16,0.0
Cojumatlán de Régules,2.9,2.03,0.0
Villa Hidalgo,1.9,1.99,0.0
Tlazazalca,2.4499999999999997,1.89,0.0
Santa María de los Ángeles,2.15,1.81,0.0
Ahualulco de Mercado,2.1999999999999997,1.69,0.0
Encarnación de Díaz,1.9,1.38,0.0
Juárez,2.8,1.29,0.0
Tepic,2.4499999999999997,1.28,0.0
Peribán,2.4499999999999997,1.02,0.0
San Marcos,2.4499999999999997,1.01,0.0
Ixtlahuacán de los Membrillos,2.55,0.82,0.0
Villa Corona,2.55,0.8,0.0
Coeneo,2.4499999999999997,0.76,0.0
Cocula,2.8,0.72,0.0
Irimbo,2.4499999999999997,0.72,0.0
San Juanito de Escobedo,2.15,0.67,0.0
Jesús María,1.9,0.66,0.0
Pajacuarán,3.15,0.66,0.0
Guachinango,2.6999999999999997,0.62,0.0
Bolaños,2.4,0.51,0.0
Unión de San Antonio,1.9,0.5,0.0
Tarímbaro,2.1999999999999997,0.49,0.0
Amacueca,2.8,0.46,0.0
Tingüindín,2.4499999999999997,0.46,0.0
La Piedad,2.8,0.41,0.0
Colotlán,2.15,0.36,0.0
Ahuacatlán,2.15,0.34,0.0
San Martín Hidalgo,2.55,0.32,0.0
Madero,2.4499999999999997,0.31,0.0
Epitacio Huerta,2.4499999999999997,0.3,0.0
Atenguillo,2.6999999999999997,0.29,0.0
Tuxpan,2.8,0.26,0.0
Tocumbo,2.4499999999999997,0.24,0.0
Villa de Álvarez,2.4,0.16,0.0
Totatiche,2.4,0.16,0.0
San Juan de los Lagos,1.7999999999999998,0.14,0.0
Jala,2.4499999999999997,0.11,0.0
Mascota,3.1,0.11,0.0
Gómez Farías,2.4499999999999997,0.08,0.0
Chimaltitán,2.4,0.07,0.0
Atotonilco el Alto,1.9,0.04,0.0
Maravatío,2.0999999999999996,0.04,0.0
Tepatitlán de Morelos,1.7999999999999998,0.04,0.0
Sahuayo,2.4499999999999997,0.02,0.0
Numarán,2.8,0.01,0.0
Hidalgo,2.1999999999999997,0.01,0.0
Chapala,2.4499999999999997,0.01,0.0
Jilotlán de los Dolores,3.05,0.0,0.0
Susupuato,2.6999999999999997,0.0,0.0
